time,Fx,Fy,Fz,Ft,mu,k_eff,mu_mean,mu_std,slip,micro,material
1770936921.128953,0.25,-0.16,0.0,0.2968164415931166,296816.4415931166,0.0,296816.4415931167,5.820766091346741e-11,0.0,1.1102230246251565e-16,Material_Metal_raw_5
1770936921.1291125,0.25,-0.16,0.0,0.2968164415931166,296816.4415931166,0.0,296816.4415931167,5.820766091346741e-11,0.0,1.1102230246251565e-16,Material_Metal_raw_5
1770936921.129172,0.25,-0.16,0.0,0.2968164415931166,296816.4415931166,0.0,296816.4415931167,5.820766091346741e-11,0.0,1.1102230246251565e-16,Material_Metal_raw_5
1770936921.1292176,0.25,-0.16,0.0,0.2968164415931166,296816.4415931166,0.0,296816.4415931167,5.820766091346741e-11,0.0,1.1102230246251565e-16,Material_Metal_raw_5
1770936921.129623,0.25,-0.16,0.0,0.2968164415931166,296816.4415931166,0.0,296816.4415931167,5.820766091346741e-11,0.0,1.1102230246251565e-16,Material_Metal_raw_5
1770936921.1296792,0.25,-0.16,0.0,0.2968164415931166,296816.4415931166,0.0,296816.4415931167,5.820766091346741e-11,0.0,1.1102230246251565e-16,Material_Metal_raw_5
1770936921.1297185,0.25,-0.16,0.0,0.2968164415931166,296816.4415931166,0.0,296816.4415931167,5.820766091346741e-11,0.0,1.1102230246251565e-16,Material_Metal_raw_5
1770936921.129754,0.25,-0.16,0.0,0.2968164415931166,296816.4415931166,0.0,296816.4415931167,5.820766091346741e-11,0.0,1.1102230246251565e-16,Material_Metal_raw_5
1770936921.129789,0.25,-0.16,0.0,0.2968164415931166,296816.4415931166,0.0,296816.4415931167,5.820766091346741e-11,0.0,1.1102230246251565e-16,Material_Metal_raw_5
1770936921.1298256,0.25,-0.16,0.0,0.2968164415931166,296816.4415931166,0.0,296816.4415931167,5.820766091346741e-11,0.0,1.1102230246251565e-16,Material_Metal_raw_5
1770936921.1298604,0.25,-0.16,0.0,0.2968164415931166,296816.4415931166,0.0,296816.4415931167,5.820766091346741e-11,0.0,1.1102230246251565e-16,Material_Metal_raw_5
1770936921.1298962,0.25,-0.16,0.0,0.2968164415931166,296816.4415931166,0.0,296816.4415931167,5.820766091346741e-11,0.0,1.1102230246251565e-16,Material_Metal_raw_5
1770936921.1299317,0.25,-0.16,0.0,0.2968164415931166,296816.4415931166,0.0,296816.4415931167,5.820766091346741e-11,0.0,1.1102230246251565e-16,Material_Metal_raw_5
1770936921.1299667,0.25,-0.16,0.0,0.2968164415931166,296816.4415931166,0.0,296816.4415931167,5.820766091346741e-11,0.0,1.1102230246251565e-16,Material_Metal_raw_5
1770936921.1300013,0.25,-0.16,0.0,0.2968164415931166,296816.4415931166,0.0,296816.4415931167,5.820766091346741e-11,0.0,1.1102230246251565e-16,Material_Metal_raw_5
1770936921.130037,0.25,-0.16,0.0,0.2968164415931166,296816.4415931166,0.0,296816.4415931167,5.820766091346741e-11,0.0,1.1102230246251565e-16,Material_Metal_raw_5
1770936921.1300716,0.25,-0.16,0.0,0.2968164415931166,296816.4415931166,0.0,296816.4415931167,5.820766091346741e-11,0.0,1.1102230246251565e-16,Material_Metal_raw_5
1770936921.130107,0.25,-0.16,0.0,0.2968164415931166,296816.4415931166,0.0,296816.4415931167,5.820766091346741e-11,0.0,1.1102230246251565e-16,Material_Metal_raw_5
1770936921.1301415,0.25,-0.16,0.0,0.2968164415931166,296816.4415931166,0.0,296816.4415931167,5.820766091346741e-11,0.0,1.1102230246251565e-16,Material_Metal_raw_5
1770936921.1301763,0.25,-0.16,0.0,0.2968164415931166,296816.4415931166,0.0,296816.4415931167,5.820766091346741e-11,0.0,1.1102230246251565e-16,Material_Metal_raw_5
1770936921.1302106,0.25,-0.16,0.0,0.2968164415931166,296816.4415931166,0.0,296816.4415931167,5.820766091346741e-11,0.0,1.1102230246251565e-16,Material_Metal_raw_5
