time,Fx,Fy,Fz,Ft,mu,k_eff,mu_mean,mu_std,slip,micro,material
1770940149.9234946,-0.7,-0.06,-0.0,0.7025667228100118,702566.7228100118,0.0,700206.2789204202,408.60790258081016,0.0,0.00040860790258080595,Material_Silicone_raw_6
1770940149.923658,-0.7,-0.06,-0.0,0.7025667228100118,702566.7228100118,0.0,700231.2318992456,471.03382518054514,0.0,0.0004710338251805377,Material_Silicone_raw_6
1770940149.923716,-0.7,-0.06,-0.0,0.7025667228100118,702566.7228100118,0.0,700256.184878071,524.919049542342,0.0,0.0005249190495423319,Material_Silicone_raw_6
1770940149.9237607,-0.7,-0.05,-0.0,0.70178344238091,701783.4423809099,0.0,700273.3050526051,546.1050270806189,0.0,0.0005461050270806097,Material_Silicone_raw_6
1770940149.923991,-0.7,-0.05,-0.0,0.70178344238091,701783.4423809099,0.0,700290.4252271393,565.9816179708007,0.0,0.0005659816179707923,Material_Silicone_raw_6
1770940149.924048,-0.7,-0.05,-0.0,0.70178344238091,701783.4423809099,0.0,700307.5454016736,584.6823773697998,0.0,0.0005846823773697922,Material_Silicone_raw_6
1770940149.9240882,-0.7,-0.05,-0.0,0.70178344238091,701783.4423809099,0.0,700322.523265478,602.8325418198532,0.0,0.0006028325418198461,Material_Silicone_raw_6
1770940149.9241247,-0.7,-0.05,-0.0,0.70178344238091,701783.4423809099,0.0,700337.5011292824,620.0903093412113,0.0,0.0006200903093412048,Material_Silicone_raw_6
1770940149.9242418,-0.7,-0.05,-0.0,0.70178344238091,701783.4423809099,0.0,700352.4789930868,636.5282689657099,0.0,0.0006365282689657038,Material_Silicone_raw_6
1770940149.9243054,-0.7,-0.05,-0.0,0.70178344238091,701783.4423809099,0.0,700367.4568568914,652.2084098183625,0.0,0.000652208409818357,Material_Silicone_raw_6
1770940149.9243453,-0.7,-0.05,-0.0,0.70178344238091,701783.4423809099,0.0,700382.434720696,667.1841647362603,0.0,0.0006671841647362552,Material_Silicone_raw_6
1770940149.9243832,-0.7,-0.05,-0.0,0.70178344238091,701783.4423809099,0.0,700397.4125845003,681.501971166302,0.0,0.0006815019711662973,Material_Silicone_raw_6
1770940149.9244192,-0.7,-0.05,-0.0,0.70178344238091,701783.4423809099,0.0,700412.3904483047,695.2024819604711,0.0,0.0006952024819604669,Material_Silicone_raw_6
1770940149.9244545,-0.7,-0.05,-0.0,0.70178344238091,701783.4423809099,0.0,700427.3683121093,708.3215176289318,0.0,0.0007083215176289278,Material_Silicone_raw_6
1770940149.9244895,-0.7,-0.05,-0.0,0.70178344238091,701783.4423809099,0.0,700442.3461759137,720.8908245636209,0.0,0.0007208908245636172,Material_Silicone_raw_6
1770940149.924524,-0.7,-0.05,-0.0,0.70178344238091,701783.4423809099,0.0,700459.4663504479,732.1202395434244,0.0,0.0007321202395434212,Material_Silicone_raw_6
1770940149.9245582,-0.7,-0.05,-0.0,0.70178344238091,701783.4423809099,0.0,700476.5865249821,742.7855064593406,0.0,0.0007427855064593376,Material_Silicone_raw_6
1770940149.9245927,-0.7,-0.05,-0.0,0.70178344238091,701783.4423809099,0.0,700493.7066995165,752.9105998130395,0.0,0.0007529105998130371,Material_Silicone_raw_6
1770940149.9246275,-0.7,-0.05,-0.0,0.70178344238091,701783.4423809099,0.0,700510.8268740507,762.5170380151758,0.0,0.0007625170380151735,Material_Silicone_raw_6
1770940149.924662,-0.7,-0.05,-0.0,0.70178344238091,701783.4423809099,0.0,700527.9470485849,771.6241925081646,0.0,0.0007716241925081625,Material_Silicone_raw_6
1770940149.924696,-0.7,-0.05,-0.0,0.70178344238091,701783.4423809099,0.0,700545.0672231191,780.2495465632461,0.0,0.0007802495465632441,Material_Silicone_raw_6
1770940149.9247305,-0.7,-0.05,-0.0,0.70178344238091,701783.4423809099,0.0,700562.1873976535,788.4089133237007,0.0,0.0007884089133236991,Material_Silicone_raw_6
1770940149.9247646,-0.7,-0.05,-0.0,0.70178344238091,701783.4423809099,0.0,700579.3075721876,796.1166205727654,0.0,0.000796116620572764,Material_Silicone_raw_6
1770940149.9247997,-0.7,-0.05,-0.0,0.70178344238091,701783.4423809099,0.0,700596.4277467218,803.3856681220898,0.0,0.0008033856681220886,Material_Silicone_raw_6
1770940149.9248345,-0.7,-0.05,-0.0,0.70178344238091,701783.4423809099,0.0,700613.5479212562,810.2278625075702,0.0,0.0008102278625075692,Material_Silicone_raw_6
